iter	Passed	Remaining
0	75	75204
1	178	89176
2	299	99634
3	359	89483
4	500	99501
5	594	98408
6	721	102355
7	776	96265
8	908	100034
9	1014	100424
10	1135	102095
11	1197	98589
12	1324	100546
13	1452	102273
14	1576	103493
15	1707	105034
16	1843	106623
17	1989	108532
18	2122	109591
19	2248	110177
20	2369	110459
21	2498	111090
22	2627	111609
23	2757	112125
24	2880	112320
25	3011	112823
26	3113	112202
27	3241	112536
28	3368	112772
29	3498	113130
30	3628	113431
31	3756	113634
32	3901	114320
33	4037	114716
34	4175	115116
35	4302	115214
36	4428	115263
37	4559	115425
38	4684	115436
39	4809	115431
40	4936	115476
41	5069	115631
42	5194	115608
43	5325	115713
44	5455	115782
45	5585	115842
46	5719	115964
47	5846	115959
48	5972	115918
49	6104	115985
50	6225	115846
51	6346	115701
52	6473	115676
53	6603	115678
54	6729	115629
55	6772	114159
56	6902	114202
57	7035	114272
58	7160	114203
59	7292	114248
60	7418	114200
61	7550	114225
62	7676	114175
63	7806	114170
64	7929	114060
65	7971	112815
66	8104	112857
67	8231	112819
68	8364	112866
69	8497	112893
70	8628	112896
71	8752	112815
72	8887	112861
73	9014	112802
74	9139	112725
75	9264	112634
76	9394	112614
77	9528	112636
78	9664	112675
79	9797	112675
80	9923	112585
81	10048	112490
82	10179	112470
83	10311	112444
84	10438	112369
85	10570	112342
86	10703	112323
87	10834	112285
88	10963	112224
89	11088	112114
90	11211	111995
91	11340	111925
92	11474	111905
93	11601	111817
94	11723	111686
95	11861	111693
96	11912	110898
97	12069	111087
98	12198	111015
99	12322	110899
100	12447	110797
101	12578	110736
102	12727	110842
103	12856	110765
104	12982	110657
105	13108	110558
106	13241	110513
107	13385	110558
108	13450	109947
109	13577	109855
110	13708	109793
111	13827	109629
112	13931	109352
113	13971	108588
114	14102	108524
115	14224	108397
116	14346	108270
117	14494	108337
118	14619	108233
119	14746	108141
120	14874	108057
121	15001	107963
122	15127	107863
123	15249	107732
124	15380	107666
125	15507	107569
126	15638	107501
127	15739	107224
128	15862	107100
129	15987	106994
130	16113	106893
131	16161	106274
132	16282	106143
133	16408	106045
134	16540	105982
135	16666	105881
136	16789	105760
137	16916	105667
138	16953	105012
139	17074	104889
140	17201	104797
141	17326	104690
142	17462	104651
143	17591	104572
144	17722	104499
145	17849	104408
146	17968	104265
147	18087	104125
148	18214	104029
149	18340	103931
150	18469	103843
151	18592	103728
152	18625	103109
153	18749	103001
154	18884	102951
155	19020	102905
156	19152	102839
157	19275	102723
158	19394	102581
159	19512	102442
160	19636	102328
161	19765	102241
162	19895	102160
163	20017	102042
164	20142	101931
165	20266	101820
166	20383	101674
167	20507	101560
168	20630	101441
169	20749	101307
170	20886	101257
171	21009	101138
172	21129	101008
173	21251	100885
174	21376	100774
175	21500	100661
176	21618	100520
177	21741	100403
178	21865	100287
179	21986	100158
180	22110	100045
181	22163	99613
182	22285	99491
183	22408	99376
184	22532	99266
185	22660	99168
186	22776	99023
187	22903	98922
188	22967	98552
189	22998	98048
190	23116	97912
191	23243	97816
192	23281	97347
193	23409	97258
194	23543	97193
195	23674	97114
196	23796	96996
197	23917	96877
198	24045	96787
199	24177	96709
200	24211	96243
201	24340	96155
202	24472	96083
203	24598	95980
204	24714	95845
205	24843	95754
206	24976	95683
207	25107	95599
208	25233	95499
209	25354	95382
210	25481	95285
211	25612	95201
212	25743	95116
213	25867	95006
214	25993	94904
215	26117	94796
216	26241	94686
217	26367	94583
218	26497	94495
219	26563	94181
220	26691	94085
221	26814	93972
222	26880	93659
223	26996	93524
224	27113	93389
225	27236	93277
226	27353	93146
227	27467	93003
228	27586	92878
229	27701	92738
230	27828	92642
231	27960	92559
232	28078	92430
233	28201	92317
234	28317	92183
235	28441	92073
236	28566	91966
237	28693	91868
238	28816	91753
239	28945	91660
240	29074	91565
241	29201	91465
242	29325	91355
243	29450	91247
244	29579	91153
245	29703	91042
246	29833	90948
247	29958	90841
248	30093	90762
249	30135	90405
250	30269	90325
251	30396	90224
252	30520	90115
253	30644	90003
254	30767	89890
255	30892	89780
256	31021	89683
257	31145	89573
258	31267	89456
259	31400	89369
260	31434	89005
261	31561	88902
262	31618	88605
263	31742	88493
264	31846	88327
265	31970	88220
266	32100	88126
267	32228	88028
268	32353	87918
269	32393	87582
270	32514	87466
271	32640	87362
272	32766	87256
273	32894	87159
274	33017	87045
275	33056	86712
276	33176	86595
277	33297	86477
278	33423	86373
279	33549	86270
280	33669	86151
281	33799	86057
282	33882	85842
283	34007	85737
284	34126	85615
285	34250	85505
286	34375	85399
287	34503	85301
288	34631	85201
289	34749	85076
290	34867	84951
291	34994	84849
292	35125	84757
293	35161	84434
294	35289	84336
295	35425	84255
296	35552	84152
297	35683	84058
298	35808	83952
299	35934	83847
300	36059	83740
301	36184	83632
302	36306	83517
303	36438	83424
304	36557	83303
305	36679	83187
306	36801	83072
307	36923	82958
308	37045	82843
309	37159	82709
310	37287	82608
311	37411	82497
312	37546	82409
313	37682	82325
314	37815	82233
315	37943	82131
316	38077	82041
317	38196	81918
318	38321	81807
319	38446	81699
320	38578	81602
321	38705	81497
322	38831	81390
323	38879	81119
324	39007	81015
325	39136	80913
326	39179	80636
327	39312	80543
328	39441	80441
329	39571	80342
330	39703	80246
331	39821	80123
332	39950	80021
333	40072	79905
334	40200	79800
335	40323	79686
336	40446	79573
337	40493	79309
338	40578	79122
339	40699	79005
340	40827	78901
341	40960	78806
342	41085	78696
343	41208	78583
344	41334	78475
345	41457	78362
346	41581	78250
347	41611	77961
348	41735	77850
349	41868	77755
350	41993	77645
351	42121	77541
352	42249	77437
353	42376	77331
354	42510	77237
355	42641	77137
356	42773	77039
357	42909	76949
358	43037	76843
359	43169	76745
360	43292	76631
361	43422	76529
362	43556	76433
363	43676	76313
364	43802	76204
365	43930	76097
366	44051	75980
367	44176	75868
368	44303	75760
369	44430	75652
370	44568	75561
371	44703	75466
372	44837	75369
373	44980	75287
374	45102	75170
375	45226	75057
376	45348	74940
377	45478	74835
378	45609	74731
379	45749	74644
380	45886	74550
381	46021	74454
382	46151	74348
383	46278	74237
384	46406	74129
385	46531	74016
386	46654	73899
387	46776	73780
388	46906	73675
389	47031	73561
390	47158	73451
391	47278	73330
392	47411	73228
393	47536	73113
394	47661	72999
395	47784	72883
396	47915	72778
397	48048	72676
398	48173	72562
399	48239	72359
400	48356	72233
401	48476	72112
402	48608	72008
403	48728	71886
404	48854	71773
405	48986	71669
406	49103	71543
407	49221	71419
408	49346	71304
409	49467	71185
410	49588	71064
411	49722	70962
412	49847	70848
413	49976	70739
414	50095	70617
415	50221	70503
416	50345	70387
417	50475	70278
418	50595	70157
419	50718	70040
420	50846	69928
421	50967	69808
422	51085	69683
423	51214	69574
424	51341	69462
425	51473	69356
426	51590	69230
427	51710	69108
428	51832	68988
429	51958	68875
430	52078	68752
431	52208	68644
432	52330	68524
433	52466	68424
434	52598	68317
435	52718	68194
436	52838	68073
437	52961	67954
438	53087	67841
439	53216	67730
440	53343	67616
441	53481	67517
442	53608	67403
443	53732	67287
444	53853	67165
445	53971	67040
446	54095	66923
447	54215	66800
448	54340	66684
449	54469	66573
450	54591	66453
451	54710	66330
452	54831	66209
453	54954	66091
454	55073	65967
455	55196	65848
456	55326	65738
457	55464	65636
458	55587	65518
459	55708	65397
460	55826	65272
461	55949	65152
462	56077	65040
463	56193	64913
464	56311	64788
465	56431	64666
466	56559	64552
467	56671	64421
468	56790	64297
469	56919	64186
470	57051	64076
471	57172	63955
472	57297	63839
473	57418	63717
474	57541	63598
475	57660	63475
476	57785	63358
477	57921	63253
478	58054	63144
479	58180	63028
480	58302	62908
481	58426	62790
482	58556	62679
483	58672	62551
484	58792	62429
485	58906	62300
486	59025	62176
487	59142	62050
488	59261	61927
489	59382	61806
490	59509	61690
491	59636	61575
492	59764	61461
493	59891	61346
494	60010	61223
495	60132	61102
496	60253	60980
497	60373	60858
498	60493	60736
499	60614	60614
500	60736	60493
501	60849	60364
502	60978	60250
503	61097	60127
504	61216	60003
505	61339	59885
506	61475	59777
507	61603	59663
508	61759	59575
509	61881	59454
510	62011	59341
511	62135	59223
512	62256	59101
513	62375	58977
514	62495	58854
515	62613	58730
516	62736	58610
517	62857	58489
518	62979	58368
519	63103	58248
520	63233	58135
521	63358	58017
522	63473	57890
523	63582	57758
524	63705	57638
525	63827	57517
526	63951	57398
527	64083	57286
528	64203	57163
529	64323	57041
530	64461	56935
531	64579	56810
532	64704	56692
533	64830	56574
534	64944	56446
535	65046	56308
536	65116	56143
537	65208	55996
538	65322	55869
539	65449	55753
540	65570	55632
541	65679	55500
542	65801	55379
543	65929	55264
544	66046	55139
545	66166	55017
546	66287	54895
547	66416	54781
548	66531	54655
549	66650	54531
550	66748	54391
551	66868	54270
552	66995	54153
553	67118	54034
554	67241	53914
555	67359	53790
556	67477	53667
557	67594	53542
558	67713	53419
559	67836	53300
560	67899	53133
561	68007	53002
562	68122	52876
563	68249	52759
564	68366	52636
565	68480	52509
566	68596	52385
567	68708	52257
568	68828	52135
569	68951	52015
570	69074	51896
571	69203	51781
572	69327	51663
573	69454	51546
574	69571	51422
575	69667	51282
576	69789	51163
577	69912	51043
578	70039	50927
579	70165	50809
580	70288	50689
581	70426	50581
582	70555	50465
583	70698	50360
584	70837	50252
585	70972	50141
586	71113	50033
587	71242	49918
588	71374	49804
589	71512	49695
590	71644	49581
591	71776	49467
592	71902	49349
593	71992	49207
594	72120	49090
595	72261	48982
596	72392	48868
597	72526	48755
598	72655	48638
599	72791	48527
600	72916	48408
601	73040	48289
602	73170	48173
603	73294	48053
604	73422	47936
605	73552	47821
606	73685	47707
607	73823	47596
608	73960	47485
609	74092	47370
610	74230	47259
611	74361	47143
612	74487	47025
613	74619	46910
614	74754	46797
615	74889	46684
616	75013	46564
617	75143	46447
618	75265	46326
619	75383	46202
620	75513	46086
621	75621	45956
622	75744	45835
623	75873	45718
624	76001	45600
625	76122	45478
626	76243	45356
627	76369	45238
628	76491	45116
629	76617	44997
630	76741	44877
631	76827	44734
632	76948	44612
633	77036	44471
634	77158	44351
635	77272	44225
636	77391	44102
637	77526	43988
638	77655	43870
639	77799	43762
640	77926	43643
641	78049	43522
642	78175	43403
643	78296	43281
644	78425	43164
645	78542	43040
646	78670	42922
647	78792	42801
648	78923	42684
649	79055	42568
650	79184	42450
651	79304	42327
652	79430	42208
653	79554	42088
654	79683	41970
655	79806	41849
656	79933	41730
657	80059	41611
658	80182	41490
659	80308	41370
660	80446	41257
661	80571	41137
662	80692	41015
663	80818	40895
664	80948	40778
665	81065	40654
666	81186	40532
667	81316	40414
668	81451	40299
669	81569	40175
670	81693	40055
671	81819	39935
672	81945	39816
673	82075	39698
674	82202	39579
675	82323	39456
676	82449	39336
677	82576	39217
678	82702	39097
679	82823	38975
680	82942	38852
681	83064	38730
682	83184	38608
683	83300	38483
684	83443	38371
685	83580	38257
686	83738	38151
687	83884	38040
688	84021	37925
689	84155	37808
690	84291	37693
691	84426	37577
692	84551	37456
693	84673	37334
694	84797	37213
695	84948	37103
696	85103	36996
697	85234	36877
698	85355	36755
699	85481	36634
700	85601	36512
701	85722	36389
702	85847	36268
703	85974	36148
704	86108	36031
705	86228	35908
706	86361	35790
707	86489	35670
708	86623	35553
709	86751	35433
710	86882	35315
711	87008	35194
712	87130	35072
713	87253	34950
714	87377	34828
715	87508	34710
716	87630	34587
717	87756	34466
718	87873	34342
719	87996	34220
720	88116	34097
721	88235	33974
722	88365	33855
723	88497	33736
724	88627	33617
725	88757	33497
726	88880	33375
727	89002	33253
728	89128	33132
729	89252	33011
730	89384	32892
731	89511	32771
732	89637	32650
733	89765	32530
734	89881	32406
735	89998	32281
736	90126	32161
737	90255	32041
738	90375	31918
739	90498	31796
740	90563	31654
741	90685	31532
742	90806	31409
743	90935	31289
744	91064	31169
745	91196	31050
746	91318	30928
747	91440	30806
748	91563	30684
749	91678	30559
750	91804	30438
751	91929	30317
752	92058	30197
753	92190	30078
754	92316	29957
755	92441	29835
756	92564	29713
757	92689	29592
758	92815	29471
759	92942	29350
760	93067	29228
761	93196	29108
762	93326	28988
763	93445	28865
764	93563	28741
765	93691	28621
766	93839	28506
767	94015	28400
768	94147	28280
769	94267	28157
770	94392	28036
771	94522	27915
772	94650	27795
773	94772	27672
774	94890	27548
775	95014	27426
776	95134	27303
777	95256	27181
778	95385	27060
779	95510	26938
780	95625	26814
781	95745	26691
782	95866	26568
783	95996	26447
784	96113	26324
785	96238	26202
786	96365	26081
787	96488	25958
788	96614	25837
789	96743	25716
790	96861	25593
791	96972	25467
792	97091	25344
793	97203	25219
794	97320	25095
795	97441	24972
796	97561	24849
797	97685	24727
798	97812	24606
799	97935	24483
800	98054	24360
801	98181	24239
802	98309	24118
803	98446	23999
804	98571	23877
805	98695	23755
806	98818	23633
807	98947	23512
808	99067	23389
809	99193	23267
810	99330	23148
811	99466	23029
812	99593	22907
813	99721	22786
814	99843	22663
815	99975	22543
816	100097	22420
817	100224	22299
818	100358	22179
819	100498	22060
820	100629	21939
821	100756	21818
822	100881	21696
823	101002	21573
824	101133	21452
825	101263	21331
826	101388	21209
827	101515	21087
828	101649	20967
829	101771	20844
830	101889	20721
831	102017	20599
832	102140	20477
833	102266	20355
834	102403	20235
835	102532	20114
836	102658	19992
837	102789	19871
838	102916	19749
839	103034	19625
840	103157	19503
841	103287	19381
842	103413	19259
843	103534	19136
844	103656	19013
845	103773	18890
846	103904	18768
847	104036	18648
848	104169	18527
849	104299	18405
850	104425	18283
851	104551	18161
852	104676	18039
853	104799	17916
854	104927	17794
855	105051	17672
856	105172	17549
857	105298	17427
858	105422	17304
859	105547	17182
860	105673	17059
861	105799	16937
862	105922	16814
863	106054	16693
864	106176	16570
865	106302	16448
866	106428	16326
867	106556	16204
868	106680	16081
869	106806	15959
870	106935	15837
871	107054	15714
872	107180	15592
873	107310	15470
874	107444	15349
875	107574	15227
876	107702	15105
877	107830	14983
878	107952	14860
879	108085	14738
880	108211	14616
881	108337	14494
882	108464	14371
883	108591	14249
884	108715	14126
885	108846	14005
886	108972	13882
887	109042	13753
888	109178	13631
889	109317	13511
890	109462	13390
891	109622	13272
892	109789	13155
893	109932	13034
894	110078	12914
895	110221	12793
896	110371	12673
897	110495	12550
898	110619	12427
899	110737	12304
900	110859	12181
901	110993	12059
902	111132	11937
903	111264	11815
904	111398	11693
905	111599	11578
906	111761	11459
907	111907	11338
908	112051	11217
909	112199	11096
910	112359	10976
911	112525	10857
912	112696	10738
913	112836	10617
914	112982	10495
915	113130	10374
916	113279	10253
917	113416	10130
918	113564	10009
919	113719	9888
920	113848	9765
921	113982	9642
922	114113	9519
923	114245	9396
924	114376	9273
925	114507	9150
926	114631	9027
927	114762	8903
928	114897	8781
929	114973	8653
930	115093	8530
931	115216	8406
932	115363	8284
933	115496	8161
934	115636	8038
935	115776	7916
936	115938	7795
937	116081	7672
938	116226	7550
939	116367	7427
940	116510	7305
941	116641	7181
942	116810	7060
943	116969	6938
944	117114	6816
945	117250	6692
946	117407	6570
947	117562	6448
948	117705	6325
949	117853	6202
950	118020	6080
951	118176	5958
952	118336	5836
953	118485	5713
954	118627	5589
955	118804	5467
956	118993	5346
957	119132	5222
958	119285	5099
959	119436	4976
960	119595	4853
961	119755	4730
962	119939	4608
963	120109	4485
964	120287	4362
965	120446	4239
966	120605	4115
967	120752	3991
968	120898	3867
969	121059	3744
970	121200	3619
971	121331	3495
972	121482	3371
973	121616	3246
974	121755	3121
975	121892	2997
976	122019	2872
977	122146	2747
978	122268	2622
979	122397	2497
980	122527	2373
981	122660	2248
982	122796	2123
983	122921	1998
984	123047	1873
985	123165	1748
986	123291	1623
987	123408	1498
988	123523	1373
989	123658	1249
990	123793	1124
991	123924	999
992	124037	874
993	124193	749
994	124343	624
995	124498	499
996	124589	374
997	124735	249
998	124876	125
999	125017	0
