dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.021864	0.24094	0.31239	0.27744	0.37793	0.29548	0.23472	0.28964	0.28916	0.35018	0.21416	0.15995	0.012929	0.021048	0.013619	0.020682	0.021356	0.37793	0.31619	0.1493	-0.16689	0.10069	0.31526	0.31365	0.31095	0.30558	0.28389	0.3125	0.058154	0.30098	0.81172	0.88735	0.056412	0.15653	0.13919	0.19578	0.10275	0.070035	0.14555	0.14488	0.11861	0.10492	0.02583	0.0024377	0.010599	0.0030236	0.0064025	0.0027764	0.18371	0.31329	0.18611	0.2467	0.080209	0.14092	0.13931	0.10109	0.10766	0.016934	0.13723	0.14093	0.088429	0.12385	-0.1157	0.08056	0.13464	0.081144	-0.12166	0.088182	-0.032815	0.020559	0.086195	0.11253	-0.046915	-0.042367	-0.025484	-0.011869	1.9965	1176
0.016163	0.12589	0.12047	0.16116	0.18685	0.11856	0.17122	0.31836	0.28849	0.52021	0.59564	0.33489	0.012218	0.02125	0.018563	0.016524	0.012723	0.59564	0.37875	0.20683	-0.17193	0.061351	0.4169	0.50507	0.60745	0.715	0.79504	0.13281	0.11304	0.64989	0.53535	0.51821	0.052401	0.055006	0.064818	0.076194	0.063305	0.085774	0.16111	0.14949	0.26996	0.31556	0.17335	0.0066532	0.0025842	0.01214	0.0042557	0.0062296	0.13278	0.28688	0.14803	0.22046	0.12505	0.058657	0.11685	0.13351	0.06895	0.14118	0.12852	0.10075	0.099091	0.071165	0.10196	0.049975	0.12754	-0.093178	-0.12629	0.13251	0.072963	0.031796	-0.0018461	0.18377	-0.029599	-0.02734	-0.039806	0.02606	1.8998	667.5
0.015317	0.42263	0.15228	0.2101	0.17587	0.15556	0.21206	0.26412	0.19514	0.15607	0.076979	0.14352	0.010116	0.010952	0.0078447	0.0081028	0.0052393	0.42263	0.23901	0.15507	-0.08394	0.048793	0.27539	0.36538	0.48	0.6108	0.70697	0.33594	0.13772	0.78102	0.77082	0.88342	0.17883	0.104	0.10985	0.037717	0.062721	0.11291	0.15353	0.11094	0.081763	0.041119	0.073721	0.0024517	0.0022066	0.0011439	0.0034853	0.0026506	0.19092	0.28739	0.2494	0.25377	-0.14065	-0.088025	0.090885	0.13242	0.10309	0.071813	-0.003679	0.013001	0.051621	0.068558	0.11077	0.14036	0.13514	0.11631	-0.051048	0.09122	0.086603	-0.0034913	0.071769	0.077074	-0.047254	-0.053583	-0.044652	-0.04287	1.979	667
0.0090388	0.092279	0.090101	0.11074	0.17016	0.23126	0.22456	0.20865	0.22069	0.16349	0.12089	0.070872	0.015049	0.0092759	0.017229	0.010706	0.010994	0.23126	0.21548	0.12586	-0.089614	0.03455	0.26599	0.40465	0.60613	0.85858	0.98227	0.19531	0.12401	0.66858	0.73496	0.74455	0.024183	0.048286	0.05738	0.087419	0.12085	0.11669	0.10602	0.11625	0.083403	0.065635	0.034948	0.0057877	0.0016686	0.0038201	0.0044671	0.001184	0.21277	0.22778	0.21197	0.22356	-0.11236	0.065295	0.10084	0.11056	0.091402	0.097603	0.12361	0.082924	0.11883	0.030068	0.013341	-0.015972	0.025715	0.10347	0.070374	0.095617	0.49155	0.097709	0.38744	0.29521	0.19289	-0.003644	0.13192	0.067124	1.7356	388.5
0.0089692	0.51152	0.14725	0.057297	0.020968	0.016876	0.014763	0.012834	0.010271	0.010896	0.016342	0.013877	0.046399	0.034221	0.031922	0.021491	0.049862	0.51152	0.10491	0.0633	-0.041614	0.021917	0.14182	0.25828	0.45781	0.72585	0.70872	0.35938	0.039324	0.12703	0.10873	0.13431	0.24557	0.078834	0.029624	0.011203	0.0049415	0.0047098	0.0017668	0.0033266	0.00357	0.0021062	0.0054714	0.023385	0.020084	0.003441	0.0073268	0.0048095	0.078355	0.22203	0.12824	0.15683	0.068179	0.066296	0.10328	-0.011594	0.11052	0.12938	-0.14072	0.08273	-0.13682	0.12199	-0.033335	0.13358	-0.010471	0.12479	-0.10207	0.016305	0.48534	0.57989	0.55415	0.74149	0.17868	0.24851	0.22737	0.50086	0.79491	254.5
0.021561	0.070931	0.38721	0.4104	0.3316	0.091864	0.1688	0.41306	0.51485	0.45485	0.25325	0.47867	0.026556	0.016895	0.022821	0.018512	0.016265	0.51485	0.34327	0.2196	-0.12368	0.069693	0.36835	0.42421	0.48558	0.54633	0.58607	0.42188	0.076524	0.41099	0.84015	0.82498	0.050801	0.072156	0.083863	0.048898	0.038909	0.085865	0.22255	0.28704	0.23765	0.13816	0.25581	0.0093287	0.0063154	0.011559	0.0063378	0.0026716	0.088989	0.31969	0.17831	0.23511	-0.14098	-0.047185	-0.036911	-0.058669	-0.018366	0.12226	0.060042	0.029009	0.09162	0.048233	0.068072	-0.036582	0.10846	0.12751	-0.12459	-0.13634	0.074749	0.1585	0.05981	0.30163	-0.044685	-0.027894	-0.040645	0.059693	1.7706	1583.5
0.017757	0.061997	0.075793	0.28589	0.34097	0.3572	0.23744	0.28407	0.25924	0.27929	0.17892	0.17602	0.023697	0.013249	0.012126	0.011872	0.016503	0.3572	0.31763	0.18296	-0.13468	0.071671	0.33894	0.38602	0.43708	0.48685	0.51759	0.25781	0.11356	0.88923	1.1216	1.1292	0.014786	0.024587	0.14695	0.19566	0.19175	0.12283	0.14493	0.12985	0.13063	0.081075	0.088207	0.0028563	0.0036972	0.0028485	0.0014138	0.0034254	0.15677	0.31685	0.22532	0.25401	-0.095347	0.13248	0.032376	-0.014124	0.012611	0.10267	0.11875	0.1414	0.14136	0.12637	0.14077	0.075498	-0.13985	-0.14079	-0.12068	0.081236	-0.026741	0.028993	0.10155	0.13148	-0.043033	-0.039715	-0.022884	-0.0075656	1.8989	2437.5
0.019938	0.10104	0.048548	0.073257	0.073942	0.1767	0.46929	0.47428	0.60269	0.48962	0.26276	0.29009	0.018057	0.020412	0.024397	0.029617	0.017089	0.60269	0.36839	0.24062	-0.12776	0.058047	0.41	0.50775	0.62389	0.74862	0.8431	0.32812	0.10285	0.44882	0.26566	0.28875	0.015533	0.017959	0.039184	0.039739	0.099392	0.25967	0.24935	0.30004	0.27167	0.14144	0.11877	0.0073735	0.009454	0.0056853	0.014991	0.0033319	0.040511	0.29087	0.15757	0.21597	-0.08118	-0.13596	0.067184	0.062488	0.021626	0.035544	-0.0022761	-0.024726	0.027512	0.060964	0.018863	-0.093232	0.06301	0.14025	0.12828	0.10201	0.040311	0.15458	0.16781	0.34809	-0.054859	-0.032651	-0.020915	0.069972	1.4487	458
0.013111	0.070505	0.043146	0.035398	0.067284	0.24657	0.49604	0.52662	0.44525	0.21365	0.11112	0.10342	0.01328	0.016935	0.030733	0.028839	0.02063	0.52662	0.29758	0.14114	-0.15644	0.044883	0.34865	0.47816	0.64857	0.84807	0.98717	0.1875	0.17697	0.47404	0.34464	0.31573	0.010604	0.017867	0.0091516	0.03371	0.12574	0.24887	0.26629	0.22355	0.11815	0.06041	0.043559	0.0029462	0.0026388	0.0032377	0.0093772	0.010372	0.12837	0.32108	0.13736	0.2258	0.12127	0.13835	-0.026635	0.14104	0.11932	0.13926	0.1295	0.13834	0.036006	0.051494	-0.13306	0.038026	-0.13928	0.13473	-0.077762	0.1366	0.12723	0.22392	0.22935	0.38841	-0.033306	-0.0090643	-0.0021883	0.11693	1.5373	535
0.012396	0.049861	0.20474	0.26469	0.021105	0.047979	0.033097	0.089872	0.27549	0.3824	0.37064	0.12503	0.0075076	0.0079398	0.01044	0.017188	0.0099938	0.3824	0.19146	0.11128	-0.080178	0.037404	0.23262	0.34293	0.49853	0.68989	0.79804	0.39844	0.21527	0.52732	0.7082	0.75452	0.016843	0.073413	0.099388	0.010894	0.025099	0.020981	0.031609	0.13935	0.1969	0.18923	0.063473	0.00089552	0.00097891	0.0029096	0.00099059	0.0045694	0.23099	0.29169	0.2589	0.26561	0.064381	0.081414	-0.018921	0.10514	0.090317	-0.056203	0.13974	0.12911	0.10795	0.1179	0.12468	0.14138	0.13549	0.14026	-0.13912	-0.13665	0.4524	0.17911	0.2855	0.28547	0.15901	-0.013406	0.035701	0.035338	1.666	623
